books,"If you have a garden and a library, you have everything you need.","garden,library"
books,A book is a gift you can open again and again.,"present,gift"
books,Rainy days should be spent at home with a cup of tea and a good book.,"comfort,rain,reading,tea,read,alone,solitude"
"inspiration,books",A book is a device to ignite the imagination.,imagination
arts,"Architecture is a visual art, and the buildings speak for themselves.","Architecture,building,"
arts,This world is but a canvas to our imagination.,"Canvas,world,imagination,imagine"
arts,"Through art, you create your own world.","create,creative,world"
arts,A man paints with his brains and not with his hands.,"Hand,Brain,Paint,artist,brush"
arts,A line is a dot that went for a walk.,"Line,Walk,Dot,lines"
"inspiration,life,motivation",The bird is powered by its own life and by its motivation.,"bird,power"
motivation,Motivation is what gets you started. Habit is what keeps you going.,"habit,keep,do,begin,start"
truth,Nothing is real.,"reality,nothing,fake,illusion"
truth,"Time is precious, but truth is more precious than time.","precious,time"
truth,Eyes shows lies.,"eye,lie,eyes"
wisdom,"We learn from failure, not from success!","experience,learning,learn,mistake,failure"
wisdom,"If opportunity doesn't knock, build a door","change,opportunity,create,path,way,construct,build,door"
wisdom,A path is made by walking on it.,"path,walk,print,trace,footprints,way"
wisdom,The sun always shines above the clouds.,"cloud,emotion,shine,sun"
god,God is a circle whose center is everywhere and circumference nowhere.,"universe,space,same"
"life,death","Death is Peaceful, Life is Harder","tough,difficult,live,poor,children,kid,child"
"life,death",It's better to burn out than to fade away.,"end,life,drug,smoke"
"truth,death,hope",Death is unstoppable. One must face it as a fact of life.,"unstoppable,grave,die"
faith,Doubt everything. Find your own light.,"believe,be-yourself,confidence"
faith,Go where your best prayers take you.,"prayer,spiritual,spirit,mountain"
"faith,quotes",Faith is the flame that eliminates fear.,"flame,light,dark,eliminate"
soul,"Quiet the mind, and the soul will speak.","meditation,spiritual,calm"
soul,There is more to a soul than what others see,"more,invisible,reflection"
soul,My body is precious and not separate from my soul.,"body,girl"
positive,When you accomplish the impossible then you can achieve anything.,"impossible,achievement,accomplish"
philosophy,"Be kind, for everyone you meet is fighting a hard battle.","kind,poor,help"
philosophy,"We do not create life, we create death.","technology,destruction"
"philosophy,inspiration,wisdom",A bird is safe in its nest - but that is not what its wings are made for.,"cage,risk,safe,prison,sad,bird"
"inspiration,writing",Tears are words that need to be written.,"sadnes,sad,grief,tears,cry,paper"
"writing,arts",Imagination is Everything!,"imagination,everything"
"hope,success","A little more persistence, a little more effort, and what seemed hopeless failure may turn to glorious success.","effort,persistence,glory"
"inspiration,hope","Shoot for the moon, even if you fail, you'll land among the stars","aim,high,believe"
"life,hope","In a time of destruction, create something.","create,destruction,plant,tree"
"life,hope","While there's life, there's hope.","alive,baby,bird,plant,small"
mind,A mind is like a puzzle; you must unlock it to read its hidden secrets.,"lesson,puzzle,maze,brain,secret"
mind,"It's the mind that sees, not eyes.","blind,eyes"
inspiration,Pain is temporary. Quitting lasts forever.,"keep,going,try,pain"
inspiration,With self-discipline most anything is possible.,"possible,meditation,discipline,person"
"inspiration,motivation","Once we accept our limits, we go beyond them.","limit,limits,beyond"
